player,recent_form,role,predicted_points,credits
BW Hilfenhaus,30.0,bowler,23.772506925297897,7
AS Raut,19.0,allrounder,23.757760414578733,7
Naman Dhir,19.0,allrounder,23.757760414578733,7
ER Dwivedi,19.0,batsman,23.757760414578733,7
RE Levi,19.0,batsman,23.757760414578733,7
A Kamboj,16.2,allrounder,23.75222989467016,7
PJ Sangwan,16.2,allrounder,23.75222989467016,7
KM Asif,16.2,allrounder,23.75222989467016,7
CJ Jordan,16.2,allrounder,23.75222989467016,7
BAW Mendis,16.2,allrounder,23.75222989467016,7
B Akhil,16.2,allrounder,23.75222989467016,7
G Coetzee,16.2,allrounder,23.75222989467016,7
PC Valthaty,16.2,allrounder,23.75222989467016,7
Harbhajan Singh,16.2,allrounder,23.75222989467016,7
YA Abdulla,32.4,allrounder,23.73727831070562,7
WD Parnell,32.4,allrounder,23.73727831070562,7
JP Faulkner,32.4,allrounder,23.73727831070562,7
TG Southee,32.4,allrounder,23.73727831070562,7
M Prasidh Krishna,32.4,allrounder,23.73727831070562,7
KP Appanna,33.6,allrounder,23.605128624477302,7
RJ Peterson,26.333333333333332,allrounder,23.554209956709954,7
MD Mishra,14.6,batsman,23.554101700977597,7
Kamran Akmal,28.0,batsman,23.551521522949717,7
SW Billings,19.2,batsman,23.517363479950046,7
P Simran Singh,19.2,batsman,23.517363479950046,7
SK Trivedi,18.2,allrounder,23.51639495808761,7
DL Vettori,18.2,allrounder,23.51639495808761,7
K Yadav,14.5,allrounder,23.490205674802006,7
AJ Tye,20.0,allrounder,23.39638078355335,7
DG Nalkande,20.0,allrounder,23.39638078355335,7
BB Sran,20.0,allrounder,23.39638078355335,7
DW Steyn,20.0,allrounder,23.39638078355335,7
Shivam Mavi,20.0,allrounder,23.39638078355335,7
Yash Thakur,20.0,bowler,23.39638078355335,7
M Theekshana,20.0,allrounder,23.39638078355335,7
Sandeep Sharma,20.0,allrounder,23.39638078355335,7
KK Nair,14.2,batsman,23.355182250868165,7
AD Nath,14.2,batsman,23.355182250868165,7
AB Dinda,27.8,allrounder,23.337257484053627,7
DP Nannes,27.8,allrounder,23.337257484053627,7
NL McCullum,4.0,allrounder,23.193932628645854,7
MJ Guptill,20.8,batsman,23.16469249330793,7
RJ Quiney,20.8,batsman,23.16469249330793,7
DJ Muthuswami,22.8,allrounder,23.118752230934778,7
FH Edwards,22.8,allrounder,23.118752230934778,7
Shahid Afridi,22.8,allrounder,23.118752230934778,7
DJ Willey,22.8,allrounder,23.118752230934778,7
Suyash Sharma,22.8,bowler,23.118752230934778,7
Arshad Khan,22.8,allrounder,23.118752230934778,7
STR Binny,15.6,allrounder,22.937531034697486,7
Misbah-ul-Haq,15.6,batsman,22.937531034697486,7
S Vidyut,15.6,allrounder,22.937531034697486,7
R Sathish,15.6,allrounder,22.937531034697486,7
C Bosch,29.0,allrounder,22.863164688548657,7
Urvil Patel,18.5,batsman,22.79888414363415,7
JC Archer,25.4,allrounder,22.72391890724663,7
Ashwani Kumar,25.4,bowler,22.72391890724663,7
Vijaykumar Vyshak,25.4,allrounder,22.72391890724663,7
D Wiese,25.4,allrounder,22.72391890724663,7
MM Patel,21.2,allrounder,22.68046472760662,7
ST Jayasuriya,21.2,allrounder,22.68046472760662,7
B Lee,21.2,allrounder,22.68046472760662,7
DT Christian,21.2,allrounder,22.68046472760662,7
JEC Franklin,21.2,allrounder,22.68046472760662,7
J Little,21.2,bowler,22.68046472760662,7
KC Cariappa,21.2,allrounder,22.68046472760662,7
Imran Tahir,21.2,allrounder,22.68046472760662,7
RD Gaikwad,29.0,batsman,22.641150781353414,7
AC Voges,2.0,allrounder,22.431287195345433,7
Shivam Sharma,19.25,allrounder,22.398452991452988,7
AD Mathews,11.6,allrounder,22.389556039849804,7
NA Saini,11.6,allrounder,22.389556039849804,7
LPC Silva,8.5,allrounder,22.332766500064746,7
L Ronchi,8.5,batsman,22.332766500064746,7
AG Paunikar,8.5,batsman,22.332766500064746,7
