matchId,bowler,runs_conceded,balls_bowled,economy,wickets
336024,Y Venugopal Rao,23,18,7.666666666666666,2.0
336025,AB Agarkar,13,12,6.5,0.0
336025,AB Dinda,10,12,5.0,0.0
336025,I Sharma,16,12,8.0,0.0
336025,JA Morkel,24,24,6.0,0.0
336025,L Balaji,34,24,8.5,1.0
336025,M Muralitharan,41,24,10.25,0.0
336025,M Ntini,20,25,4.800000000000001,4.0
336025,MS Gony,17,24,4.25,0.0
336025,Shoaib Akhtar,12,12,6.0,0.0
336026,A Kumble,18,24,4.5,2.0
336026,B Akhil,21,20,6.300000000000001,0.0
336026,DW Steyn,26,24,6.5,1.0
336026,GD McGrath,14,24,3.5,2.0
336026,JH Kallis,16,12,8.0,0.0
336026,MF Maharoof,13,24,3.25,2.0
336026,P Kumar,33,12,16.5,1.0
336026,PJ Sangwan,44,18,14.666666666666668,0.0
336026,R Bhatia,47,24,11.75,0.0
336026,TM Dilshan,3,6,3.0,1.0
336026,VY Mahesh,24,24,6.0,0.0
336026,Z Khan,32,18,10.666666666666666,0.0
336027,AB Agarkar,30,18,10.0,0.0
336027,AB Dinda,32,24,8.0,0.0
336027,I Sharma,23,18,7.666666666666666,1.0
336027,LR Shukla,7,6,7.0,0.0
336027,MM Patel,22,24,5.5,2.0
336027,SC Ganguly,24,12,12.0,1.0
336027,SK Trivedi,26,18,8.666666666666666,1.0
336027,SK Warne,21,18,7.0,0.0
336027,SR Watson,35,24,8.75,0.0
336027,Sohail Tanvir,24,24,6.0,3.0
336027,Umar Gul,27,21,7.714285714285715,2.0
336027,YK Pathan,14,12,7.0,1.0
336028,A Nehra,32,18,10.666666666666666,0.0
336028,CRD Fernando,36,24,9.0,1.0
336028,DR Smith,18,12,9.0,0.0
336028,IK Pathan,35,24,8.75,0.0
336028,JR Hopes,13,12,6.5,0.0
336028,PP Chawla,22,24,5.5,1.0
336028,S Sreesanth,28,24,7.0,2.0
336028,SD Chitnis,35,24,8.75,2.0
336028,SM Pollock,14,18,4.666666666666667,1.0
336028,VRV Singh,55,25,13.200000000000001,0.0
336028,VS Yeligati,42,24,10.5,0.0
336028,Yuvraj Singh,12,12,6.0,2.0
336029,A Kumble,14,24,3.5,3.0
336029,B Akhil,4,6,4.0,0.0
336029,DW Steyn,20,25,4.800000000000001,2.0
336029,JA Morkel,32,24,8.0,4.0
336029,JH Kallis,15,24,3.75,0.0
336029,L Balaji,34,24,8.5,1.0
336029,M Muralitharan,19,24,4.75,1.0
336029,M Ntini,27,24,6.75,0.0
336029,MS Gony,10,24,2.5,2.0
336029,P Kumar,25,24,6.25,1.0
336029,R Vinay Kumar,22,19,6.947368421052632,1.0
336031,DP Vijaykumar,24,12,12.0,0.0
336031,Gagandeep Singh,33,18,11.0,1.0
336031,PP Chawla,31,24,7.75,0.0
336031,PP Ojha,27,24,6.75,2.0
336031,RG Sharma,24,24,6.0,1.0
336031,RP Singh,36,21,10.285714285714285,0.0
336031,RR Powar,19,24,4.75,1.0
336031,S Sreesanth,29,24,7.25,1.0
336031,SB Styris,36,24,9.0,1.0
336031,VRV Singh,40,24,10.0,1.0
336031,Y Venugopal Rao,23,12,11.5,0.0
336031,Yuvraj Singh,18,6,18.0,0.0
336032,A Mishra,23,24,5.75,1.0
336032,A Nehra,30,23,7.826086956521739,1.0
